threshold,accuracy,precision_ai,recall_ai,f1_ai,roc_auc,model,epoch,train_loss
0.9149999999999999,0.96,0.9,0.9473684210526315,0.9230769230769231,0.9917763157894737,resnet18,1,0.3173147197785995
0.94,0.96,0.9444444444444444,0.8947368421052632,0.918918918918919,0.9924812030075187,resnet18,2,0.046623380878846425
0.575,0.9866666666666667,0.95,1.0,0.9743589743589743,0.9981203007518796,resnet18,3,0.013384717412078553
0.5449999999999999,0.98,0.9487179487179487,0.9736842105263158,0.961038961038961,0.9971804511278196,resnet18,4,0.01623162184071412
0.9249999999999999,0.9866666666666667,1.0,0.9473684210526315,0.972972972972973,0.9978853383458647,resnet18,5,0.010249143635867526
0.5449999999999999,0.9533333333333334,0.9696969696969697,0.8421052631578947,0.9014084507042254,0.9640507518796992,efficientnet_b0,1,0.5639079856357986
0.5449999999999999,0.9733333333333334,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9943609022556391,efficientnet_b0,2,0.3252041674346375
0.6399999999999999,0.9866666666666667,1.0,0.9473684210526315,0.972972972972973,0.9978853383458647,efficientnet_b0,3,0.2095811472522269
0.615,0.9933333333333333,1.0,0.9736842105263158,0.9866666666666667,0.9985902255639098,efficientnet_b0,4,0.10302680978457705
0.4149999999999999,1.0,1.0,1.0,1.0,1.0,efficientnet_b0,5,0.09088574388473154
0.5299999999999999,0.92,0.90625,0.7631578947368421,0.8285714285714286,0.9447838345864662,mobilenet_v3_small,1,0.571084673541913
0.4749999999999999,0.9533333333333334,0.9428571428571428,0.868421052631579,0.9041095890410958,0.9849624060150377,mobilenet_v3_small,2,0.3157869094352928
0.4749999999999999,0.96,0.9705882352941176,0.868421052631579,0.9166666666666666,0.9910714285714285,mobilenet_v3_small,3,0.18512261672843275
0.37499999999999994,0.9733333333333334,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9960056390977443,mobilenet_v3_small,4,0.10231576109532829
0.3449999999999999,0.9933333333333333,1.0,0.9736842105263158,0.9866666666666667,0.9992951127819548,mobilenet_v3_small,5,0.07272980839228459
0.5499999999999999,0.96,0.9705882352941176,0.868421052631579,0.9166666666666666,0.9896616541353384,vit_b_16,1,0.42150484436064317
0.8099999999999999,0.98,0.972972972972973,0.9473684210526315,0.96,0.9978853383458647,vit_b_16,2,0.06838042327879573
0.05,0.9666666666666667,0.8837209302325582,1.0,0.9382716049382716,0.9950657894736842,vit_b_16,3,0.021999756944292098
0.4799999999999999,0.9933333333333333,0.9743589743589743,1.0,0.987012987012987,0.99953007518797,vit_b_16,4,0.00698394086714432
0.845,0.9933333333333333,0.9743589743589743,1.0,0.987012987012987,0.9997650375939849,vit_b_16,5,0.0029506820287528656
