category,n,accuracy,mean_prob_ai
people,31,0.9354838709677419,0.23307357684388336
animals,28,0.9642857142857143,0.2753526531950961
nature,29,0.9655172413793104,0.19415031498441923
food,37,0.972972972972973,0.2803423023805853
city,25,1.0,0.3473729258961375
